epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6539.52,2.3189,4.31749,1.59757,0.52877,0.22813,0.16352,0.07481,2.06858,3.16358,1.44498,0.00333289,0.00333289,0.00333289
2,11536.6,2.23577,3.0793,1.54311,0.50529,0.38747,0.35705,0.16122,2.01734,2.4992,1.40405,0.00660023,0.00660023,0.00660023
3,15546.9,2.21966,2.78032,1.55148,0.47444,0.45619,0.39989,0.16834,2.091,2.46102,1.47034,0.00980157,0.00980157,0.00980157
4,24285.7,2.19381,2.53008,1.54869,0.45601,0.5507,0.51291,0.23612,1.95467,2.04319,1.38646,0.009703,0.009703,0.009703
5,35797.3,2.13063,2.2764,1.52043,0.47522,0.61812,0.56382,0.25728,1.91323,1.87885,1.37899,0.009604,0.009604,0.009604
