epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8736.2,2.01444,4.01556,1.72756,0.59675,0.38987,0.38029,0.18986,1.73516,2.7171,1.58747,0.00332979,0.00332979,0.00332979
2,16670.6,1.9377,2.42027,1.69676,0.6202,0.58633,0.59557,0.29384,1.7303,2.11547,1.61845,0.00653119,0.00653119,0.00653119
3,24148.2,1.93129,2.12588,1.69901,0.6042,0.6714,0.65369,0.30712,1.76361,2.00114,1.66247,0.00960059,0.00960059,0.00960059
4,33004.9,1.91527,1.94393,1.69871,0.6821,0.71775,0.73074,0.36371,1.67999,1.61813,1.61063,0.009406,0.009406,0.009406
5,41316.3,1.86417,1.68562,1.66423,0.72872,0.74344,0.76503,0.39968,1.62676,1.40345,1.54906,0.009208,0.009208,0.009208
