epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3337,2.48176,5.30234,2.12917,0,0,0,0,2.58812,5.56873,2.16808,5.328e-05,5.328e-05,5.328e-05
2,24.2504,2.53911,5.61505,2.155,0,0,0,0,2.56499,5.56965,2.13989,8.72416e-05,8.72416e-05,8.72416e-05
3,35.0177,2.41503,5.23218,1.99449,0,0,0,0,2.55761,5.56281,2.10548,9.92251e-05,9.92251e-05,9.92251e-05
4,46.7741,2.34028,5.30578,1.94975,0,0,0,0,2.62708,5.55914,2.10006,8.92307e-05,8.92307e-05,8.92307e-05
5,57.7969,2.46241,5.26707,2.02306,0,0,0,0,2.62251,5.53274,2.07595,4.6176e-05,4.6176e-05,4.6176e-05
