epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8356,2.69836,5.41002,2.18782,0,0,0,0,2.0669,5.35337,1.95425,5.328e-05,5.328e-05,5.328e-05
2,23.4451,2.51592,5.35272,2.12117,0,0,0,0,2.07893,5.35751,1.96052,8.72416e-05,8.72416e-05,8.72416e-05
3,35.2442,2.52893,5.37201,2.13286,0,0,0,0,2.10328,5.36746,1.95947,9.92251e-05,9.92251e-05,9.92251e-05
4,46.9423,2.49303,5.40526,2.06928,0,0,0,0,2.09891,5.36811,1.92382,8.92307e-05,8.92307e-05,8.92307e-05
5,70.4892,2.47258,5.33351,2.04987,0,0,0,0,2.11333,5.30541,1.89957,4.6176e-05,4.6176e-05,4.6176e-05
