Algorithm,Accuracy S,Accuracy W,F1-score S,F1-score W,Inference Speed S,Inference Speed W,Total Score,Weight
Custom CNN,9.91,0.5,9.93,8.94,9.88,0.49,9.93,"Accuracy=0.05, F1=0.9, Speed=0.05"
MobileNet V3,9.89,0.49,9.88,8.89,9.07,0.45,9.83,"Accuracy=0.05, F1=0.9, Speed=0.05"
ResNet-50,9.82,0.49,9.84,8.86,8.29,0.41,9.76,"Accuracy=0.05, F1=0.9, Speed=0.05"
EfficientNet-V2,9.83,0.49,9.89,8.9,7.32,0.37,9.76,"Accuracy=0.05, F1=0.9, Speed=0.05"
DenseNet-201,9.84,0.49,9.82,8.84,5.37,0.27,9.6,"Accuracy=0.05, F1=0.9, Speed=0.05"
VGG-16,9.6,0.48,9.55,8.6,2.11,0.11,9.19,"Accuracy=0.05, F1=0.9, Speed=0.05"
