Algorithm,Accuracy S,Accuracy W,F1-score S,F1-score W,Inference Speed S,Inference Speed W,Total Score,Weight
Custom CNN,9.91,1.49,9.93,6.95,9.88,1.48,9.92,"Accuracy=0.15, F1=0.7, Speed=0.15"
MobileNet V3,9.89,1.48,9.88,6.92,9.07,1.36,9.76,"Accuracy=0.15, F1=0.7, Speed=0.15"
ResNet-50,9.82,1.47,9.84,6.89,8.29,1.24,9.6,"Accuracy=0.15, F1=0.7, Speed=0.15"
EfficientNet-V2,9.83,1.47,9.89,6.92,7.32,1.1,9.49,"Accuracy=0.15, F1=0.7, Speed=0.15"
DenseNet-201,9.84,1.48,9.82,6.87,5.37,0.81,9.16,"Accuracy=0.15, F1=0.7, Speed=0.15"
VGG-16,9.6,1.44,9.55,6.69,2.11,0.32,8.45,"Accuracy=0.15, F1=0.7, Speed=0.15"
