Algorithm,Accuracy S,Accuracy W,F1-score S,F1-score W,Inference Speed S,Inference Speed W,Total Score,Weight
Custom CNN,9.91,2.97,9.93,3.97,9.88,2.96,9.9,"Accuracy=0.3, F1=0.4, Speed=0.3"
MobileNet V3,9.89,2.97,9.88,3.95,9.07,2.72,9.64,"Accuracy=0.3, F1=0.4, Speed=0.3"
ResNet-50,9.82,2.95,9.84,3.94,8.29,2.49,9.38,"Accuracy=0.3, F1=0.4, Speed=0.3"
EfficientNet-V2,9.83,2.95,9.89,3.96,7.32,2.2,9.11,"Accuracy=0.3, F1=0.4, Speed=0.3"
DenseNet-201,9.84,2.95,9.82,3.93,5.37,1.61,8.49,"Accuracy=0.3, F1=0.4, Speed=0.3"
VGG-16,9.6,2.88,9.55,3.82,2.11,0.63,7.33,"Accuracy=0.3, F1=0.4, Speed=0.3"
