Algorithm,Accuracy S,Accuracy W,F1-score S,F1-score W,Inference Speed S,Inference Speed W,Total Score,Weight
Custom CNN,9.91,2.48,9.93,4.96,9.88,2.47,9.91,"Accuracy=0.25, F1=0.5, Speed=0.25"
MobileNet V3,9.89,2.47,9.88,4.94,9.07,2.27,9.68,"Accuracy=0.25, F1=0.5, Speed=0.25"
ResNet-50,9.82,2.46,9.84,4.92,8.29,2.07,9.45,"Accuracy=0.25, F1=0.5, Speed=0.25"
EfficientNet-V2,9.83,2.46,9.89,4.95,7.32,1.83,9.24,"Accuracy=0.25, F1=0.5, Speed=0.25"
DenseNet-201,9.84,2.46,9.82,4.91,5.37,1.34,8.71,"Accuracy=0.25, F1=0.5, Speed=0.25"
VGG-16,9.6,2.4,9.55,4.78,2.11,0.53,7.71,"Accuracy=0.25, F1=0.5, Speed=0.25"
