epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10748.3,2.03059,4.03555,1.7039,0.66117,0.39379,0.39599,0.19675,1.78989,2.84821,1.62999,0.00333156,0.00333156,0.00333156
2,18266.8,1.96112,2.51352,1.67946,0.62451,0.60864,0.61731,0.29816,1.72827,2.18493,1.56823,0.00659891,0.00659891,0.00659891
3,27000.8,1.95528,2.23846,1.68717,0.66186,0.61995,0.64695,0.30646,1.75794,2.11427,1.59739,0.00980026,0.00980026,0.00980026
4,36624.3,1.9405,2.03504,1.69491,0.70606,0.70968,0.72499,0.37165,1.66719,1.62926,1.57428,0.009703,0.009703,0.009703
1,8401.26,2.03059,4.03555,1.7039,0.66117,0.39379,0.39599,0.19675,1.78989,2.84821,1.62999,0.00333156,0.00333156,0.00333156
2,14632,1.96112,2.51352,1.67946,0.62451,0.60864,0.61731,0.29816,1.72827,2.18493,1.56823,0.00659891,0.00659891,0.00659891
3,21402.4,1.95528,2.23846,1.68717,0.66186,0.61995,0.64695,0.30646,1.75794,2.11427,1.59739,0.00980026,0.00980026,0.00980026
4,31404.6,1.9405,2.03504,1.69491,0.70606,0.70968,0.72499,0.37165,1.66719,1.62926,1.57428,0.009703,0.009703,0.009703
5,40276.2,1.88558,1.75387,1.66279,0.69309,0.76463,0.78076,0.41052,1.59935,1.38847,1.53739,0.009604,0.009604,0.009604
