epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2451,2.89663,5.493,2.43356,0,0,0,0,2.52221,5.51794,2.38452,5.328e-05,5.328e-05,5.328e-05
2,102.544,2.37807,5.30019,2.13216,0,0,0,0,2.53992,5.52629,2.38407,8.72416e-05,8.72416e-05,8.72416e-05
3,155.415,2.60272,5.33609,2.1322,0,0,0,0,2.52541,5.5073,2.35068,9.92251e-05,9.92251e-05,9.92251e-05
4,204.256,2.45264,5.34022,1.99549,0,0,0,0,2.50691,5.50205,2.34316,8.92307e-05,8.92307e-05,8.92307e-05
5,254.202,2.60066,5.38151,2.05061,0,0,0,0,2.51575,5.4647,2.32304,4.6176e-05,4.6176e-05,4.6176e-05
